raw_metar,station,valid_time_utc,is_auto,wind_dir_deg,wind_speed_kt,wind_gust_kt,visibility_m,weather_phenomena,sky_layer1_cover,sky_layer1_height_ft,sky_layer1_type,sky_layer2_cover,sky_layer2_height_ft,sky_layer2_type,sky_layer3_cover,sky_layer3_height_ft,sky_layer3_type,has_cb,temp_c,dewpoint_c,qnh_hpa,has_ts,ts_in_vicinity,ts_intensity,ceiling_ft,label_has_ts_h1,label_ts_in_vicinity_h1,label_visibility_m_h1,label_wind_speed_kt_h1,label_wind_gust_kt_h1,label_ceiling_ft_h1,label_has_ts_h3,label_ts_in_vicinity_h3,label_visibility_m_h3,label_wind_speed_kt_h3,label_wind_gust_kt_h3,label_ceiling_ft_h3,label_has_ts_h6,label_ts_in_vicinity_h6,label_visibility_m_h6,label_wind_speed_kt_h6,label_wind_gust_kt_h6,label_ceiling_ft_h6,label_has_ts_h12,label_ts_in_vicinity_h12,label_visibility_m_h12,label_wind_speed_kt_h12,label_wind_gust_kt_h12,label_ceiling_ft_h12,label_has_ts_h24,label_ts_in_vicinity_h24,label_visibility_m_h24,label_wind_speed_kt_h24,label_wind_gust_kt_h24,label_ceiling_ft_h24
METAR WALS 220800Z 26004KT 5000 -RA SCT017 25/24 Q1010 NOSIG,WALS,2026-07-22 08:00:00,0,260.0,4.0,,5000.0,"('-', None, 'RA', None, None)",SCT,1700.0,,,,,,,,0,25.0,24.0,1010.0,0,0,,,0.0,0.0,8000.0,1.0,,,0.0,0.0,5000.0,0.0,,,0.0,0.0,4100.0,1.0,,29000.0,0.0,0.0,4800.0,0.0,,1700.0,0.0,0.0,10000.0,4.0,,
METAR WALS 220830Z VRB01KT 8000 FEW017 25/24 Q1010 RERA NOSIG,WALS,2026-07-22 08:30:00,0,,1.0,,8000.0,,FEW,1700.0,,,,,,,,0,25.0,24.0,1010.0,0,0,,,0.0,0.0,10000.0,3.0,,,0.0,0.0,6000.0,1.0,,11000.0,0.0,0.0,650.0,1.0,,2800.0,0.0,0.0,2100.0,0.0,,1800.0,0.0,0.0,10000.0,5.0,,
METAR WALS 220930Z 33003KT 9999 FEW020 25/25 Q1010 NOSIG,WALS,2026-07-22 09:30:00,0,330.0,3.0,,10000.0,,FEW,2000.0,,,,,,,,0,25.0,25.0,1010.0,0,0,,,0.0,0.0,5000.0,0.0,,,0.0,0.0,3900.0,1.0,,13000.0,0.0,0.0,4700.0,1.0,,14000.0,0.0,0.0,7000.0,1.0,,1800.0,0.0,0.0,10000.0,6.0,,
METAR WALS 221000Z VRB02KT 7000 FEW020 25/25 Q1010 NOSIG,WALS,2026-07-22 10:00:00,0,,2.0,,7000.0,,FEW,2000.0,,,,,,,,0,25.0,25.0,1010.0,0,0,,,0.0,0.0,5000.0,0.0,,,0.0,0.0,3600.0,1.0,,12000.0,0.0,0.0,5000.0,1.0,,14000.0,0.0,0.0,3900.0,0.0,,2000.0,0.0,0.0,10000.0,6.0,,
METAR WALS 221030Z AUTO 00000KT 5000 FEW130 FEW170 25/25 Q1011 NOSIG,WALS,2026-07-22 10:30:00,1,0.0,0.0,,5000.0,,FEW,13000.0,,FEW,17000.0,,,,,0,25.0,25.0,1011.0,0,0,,,0.0,0.0,6000.0,1.0,,11000.0,0.0,0.0,3600.0,1.0,,12000.0,0.0,0.0,5000.0,1.0,,14000.0,0.0,0.0,3700.0,1.0,,2600.0,0.0,0.0,10000.0,4.0,,13000.0
METAR WALS 221130Z AUTO 07001KT 6000 BKN110 OVC270 25/25 Q1011 NOSIG,WALS,2026-07-22 11:30:00,1,70.0,1.0,,6000.0,,BKN,11000.0,,OVC,27000.0,,,,,0,25.0,25.0,1011.0,0,0,,11000.0,0.0,0.0,3900.0,1.0,,13000.0,0.0,0.0,650.0,1.0,,2800.0,0.0,0.0,6000.0,1.0,,12000.0,0.0,0.0,5000.0,2.0,,,0.0,0.0,10000.0,4.0,,
METAR WALS 221200Z AUTO 24001KT 3900 BR FEW110 BKN130 OVC280 25/25 Q1011,WALS,2026-07-22 12:00:00,1,240.0,1.0,,3900.0,"('', None, '', 'BR', None)",FEW,11000.0,,BKN,13000.0,,OVC,28000.0,,0,25.0,25.0,1011.0,0,0,,13000.0,0.0,0.0,3600.0,1.0,,12000.0,0.0,0.0,650.0,1.0,,2800.0,0.0,0.0,5000.0,1.0,,13000.0,0.0,0.0,10000.0,6.0,,,0.0,0.0,10000.0,4.0,,
METAR WALS 221330Z AUTO VRB01KT 3600 BR BKN120 OVC140 24/24 Q1012,WALS,2026-07-22 13:30:00,1,,1.0,,3600.0,"('', None, '', 'BR', None)",BKN,12000.0,,OVC,14000.0,,,,,0,24.0,24.0,1012.0,0,0,,12000.0,0.0,0.0,650.0,1.0,,2800.0,0.0,0.0,5000.0,1.0,,14000.0,0.0,0.0,5000.0,1.0,,11000.0,0.0,0.0,10000.0,8.0,,,0.0,0.0,10000.0,3.0,,12000.0
METAR WALS 221400Z AUTO VRB01KT 4100 BR SCT033 SCT120 BKN290 24/24 Q1012,WALS,2026-07-22 14:00:00,1,,1.0,,4100.0,"('', None, '', 'BR', None)",SCT,3300.0,,SCT,12000.0,,BKN,29000.0,,0,24.0,24.0,1012.0,0,0,,29000.0,0.0,0.0,650.0,1.0,,2800.0,0.0,0.0,3900.0,1.0,,9500.0,0.0,0.0,4800.0,0.0,,1700.0,,,,,,,0.0,0.0,10000.0,3.0,,12000.0
METAR WALS 221430Z AUTO VRB01KT 0650 R04/P2000D R22/0900N FG BKN028 BKN037 OVC160 24/24 Q1012,WALS,2026-07-22 14:30:00,1,,1.0,,650.0,"('', None, '', 'FG', None)",BKN,2800.0,,BKN,3700.0,,OVC,16000.0,,0,24.0,24.0,1012.0,0,0,,2800.0,0.0,0.0,4700.0,1.0,,14000.0,0.0,0.0,6000.0,1.0,,12000.0,0.0,0.0,2100.0,0.0,,1800.0,,,,,,,0.0,0.0,10000.0,1.0,,7500.0
